# Time-averaged data for fix msd2
# TimeStep Number-of-rows
# Row c_comp2
1 0.00249028
2 0.00251879
3 0.0024766
4 0.00748567
8700 4
1 0.00248229
2 0.00253298
3 0.00251622
4 0.0075315
8800 4
1 0.00244689
2 0.0024978
3 0.00250551
4 0.0074502
8900 4
1 0.00235176
2 0.00236864
3 0.00234124
4 0.00706165
9000 4
1 0.00238105
2 0.00241312
3 0.00240792
4 0.00720209
9100 4
1 0.00234491
2 0.00237517
3 0.00230311
4 0.00702319
9200 4
1 0.00225287
2 0.00229312
3 0.00226486
4 0.00681085
9300 4
1 0.00229739
2 0.00230179
3 0.0022862
4 0.00688538
9400 4
1 0.00225405
2 0.0022463
3 0.00221434
4 0.00671469
9500 4
1 0.00220214
2 0.00216145
3 0.00214605
4 0.00650964
9600 4
1 0.00220713
2 0.00218855
3 0.00217792
4 0.00657359
9700 4
1 0.00216328
2 0.00215159
3 0.00212306
4 0.00643793
9800 4
1 0.00205359
2 0.00206949
3 0.00208547
4 0.00620854
9900 4
1 0.00209769
2 0.00211918
3 0.0020903
4 0.00630716
10000 4
1 0.00205567
2 0.00203964
3 0.0020564
4 0.0061517
10100 4
1 0.00198279
2 0.0019749
3 0.0020103
4 0.00596799
10200 4
1 0.00200229
2 0.00200905
3 0.00199965
4 0.00601098
10300 4
1 0.0019621
2 0.00197791
3 0.00197634
4 0.00591635
10400 4
1 0.00190152
2 0.00192975
3 0.0018997
4 0.00573097
10500 4
1 0.00195198
2 0.00195229
3 0.00192271
4 0.00582698
10600 4
1 0.00190369
2 0.00190425
3 0.00188106
4 0.005689
10700 4
1 0.00185618
2 0.00180481
3 0.00182459
4 0.00548559
10800 4
1 0.0018642
2 0.00186157
3 0.00184636
4 0.00557213
10900 4
1 0.00182828
2 0.00181872
3 0.00180862
4 0.00545561
11000 4
1 0.00176664
2 0.00176923
3 0.00174821
4 0.00528408
11100 4
1 0.00180138
2 0.00180498
3 0.00177951
4 0.00538588
11200 4
1 0.001748
2 0.00177854
3 0.00173378
4 0.00526031
11300 4
1 0.00171271
2 0.00172591
3 0.00168863
4 0.00512726
11400 4
1 0.00172693
2 0.00175131
3 0.00174415
4 0.00522239
11500 4
1 0.00169054
2 0.00168246
3 0.00167111
4 0.00504411
11600 4
1 0.00163859
2 0.00166096
3 0.00165066
4 0.00495021
11700 4
1 0.00166769
2 0.00168468
3 0.00166197
4 0.00501434
11800 4
1 0.00162587
2 0.00163763
3 0.00162702
4 0.00489053
11900 4
1 0.00161086
2 0.00160245
3 0.00159883
4 0.00481214
12000 4
1 0.00160648
2 0.00163062
3 0.00160663
4 0.00484373
12100 4
1 0.00156987
2 0.00158983
3 0.00157585
4 0.00473556
12200 4
1 0.00156296
2 0.00156334
3 0.0015511
4 0.0046774
12300 4
1 0.0015802
2 0.00157875
3 0.00156778
4 0.00472673
12400 4
1 0.00153177
2 0.00154998
3 0.00152204
4 0.00460379
12500 4
1 0.00153185
2 0.00152129
3 0.0015052
4 0.00455834
12600 4
1 0.00153548
2 0.00150892
3 0.0015282
4 0.00457261
12700 4
1 0.00150154
2 0.00148573
3 0.00147487
4 0.00446214
12800 4
1 0.00147899
2 0.00147498
3 0.00147644
4 0.00443042
12900 4
1 0.00148798
2 0.00149707
3 0.00146741
4 0.00445246
13000 4
1 0.00147265
2 0.00144647
3 0.00144262
4 0.00436175
13100 4
1 0.00140825
2 0.00143129
3 0.00139749
4 0.00423703
13200 4
1 0.00143189
2 0.00143951
3 0.00144535
4 0.00431675
13300 4
1 0.00141846
2 0.00140401
3 0.00141187
4 0.00423434
13400 4
1 0.0014126
2 0.00140212
3 0.0013861
4 0.00420082
13500 4
1 0.00141475
2 0.00138705
3 0.00137311
4 0.00417492
13600 4
1 0.00137577
2 0.00136452
3 0.00137064
4 0.00411093
13700 4
1 0.00136278
2 0.00135971
3 0.00135268
4 0.00407516
13800 4
1 0.00134142
2 0.00136016
3 0.00135587
4 0.00405745
13900 4
1 0.00135653
2 0.00133711
3 0.00132297
4 0.00401662
14000 4
1 0.00132172
2 0.00135161
3 0.00132232
4 0.00399564
14100 4
1 0.00132232
2 0.00132117
